signatures,tumor_type
SBS34,Lymph.CLL
SBS98,Lymph.CLL
SBS1,Myeloid.AML
SBS2,Myeloid.AML
SBS5,Myeloid.AML
SBS8,Myeloid.AML
SBS9,Myeloid.AML
SBS18,Myeloid.AML
SBS35,Myeloid.AML
SBS30,Myeloid.AML
SBS31,Myeloid.AML
SBS60,Myeloid.AML
SBS84,Myeloid.AML
SBS99,Myeloid.AML
SBS89,Myeloid.AML
SBS1,Myeloid.MDS
SBS5,Myeloid.MDS
SBS8,Myeloid.MDS
SBS18,Myeloid.MDS
SBS30,Myeloid.MDS
SBS60,Myeloid.MDS
SBS84,Myeloid.MDS
SBS99,Myeloid.MDS
SBS1,Myeloid.MPN
SBS2,Myeloid.MPN
SBS5,Myeloid.MPN
SBS8,Myeloid.MPN
SBS9,Myeloid.MPN
SBS18,Myeloid.MPN
SBS30,Myeloid.MPN
SBS60,Myeloid.MPN
SBS84,Myeloid.MPN
SBS99,Myeloid.MPN
SBS1,Ovary.AdenoCA
SBS2,Ovary.AdenoCA
SBS5,Ovary.AdenoCA
SBS13,Ovary.AdenoCA
SBS17b,Ovary.AdenoCA
SBS8,Ovary.AdenoCA
SBS18,Ovary.AdenoCA
SBS3,Ovary.AdenoCA
SBS35,Ovary.AdenoCA
SBS41,Ovary.AdenoCA
SBS85,Ovary.AdenoCA
SBS34,Ovary.AdenoCA
SBS26,Ovary.AdenoCA
SBS15,Ovary.AdenoCA
SBS95,Ovary.AdenoCA
SBS98,Ovary.AdenoCA
SBS100,Ovary.AdenoCA
SBS1,Panc.AdenoCA
SBS2,Panc.AdenoCA
SBS5,Panc.AdenoCA
SBS13,Panc.AdenoCA
SBS17a,Panc.AdenoCA
SBS17b,Panc.AdenoCA
SBS8,Panc.AdenoCA
SBS18,Panc.AdenoCA
SBS3,Panc.AdenoCA
SBS41,Panc.AdenoCA
SBS30,Panc.AdenoCA
SBS51,Panc.AdenoCA
SBS85,Panc.AdenoCA
SBS36,Panc.AdenoCA
SBS28,Panc.AdenoCA
SBS93,Panc.AdenoCA
SBS31,Panc.AdenoCA
SBS60,Panc.AdenoCA
SBS34,Panc.AdenoCA
SBS26,Panc.AdenoCA
SBS14,Panc.AdenoCA
SBS15,Panc.AdenoCA
SBS20,Panc.AdenoCA
SBS21,Panc.AdenoCA
SBS95,Panc.AdenoCA
SBS98,Panc.AdenoCA
SBS97,Panc.AdenoCA
SBS100,Panc.AdenoCA
SBS1,Panc.Endocrine
SBS2,Panc.Endocrine
SBS5,Panc.Endocrine
SBS13,Panc.Endocrine
SBS8,Panc.Endocrine
SBS18,Panc.Endocrine
SBS3,Panc.Endocrine
SBS30,Panc.Endocrine
SBS51,Panc.Endocrine
SBS85,Panc.Endocrine
SBS36,Panc.Endocrine
SBS31,Panc.Endocrine
SBS34,Panc.Endocrine
SBS26,Panc.Endocrine
SBS15,Panc.Endocrine
SBS20,Panc.Endocrine
SBS21,Panc.Endocrine
SBS96,Panc.Endocrine
SBS98,Panc.Endocrine
SBS97,Panc.Endocrine
SBS1,Prost.AdenoCA
SBS2,Prost.AdenoCA
SBS5,Prost.AdenoCA
SBS13,Prost.AdenoCA
SBS8,Prost.AdenoCA
SBS18,Prost.AdenoCA
SBS40,Prost.AdenoCA
SBS3,Prost.AdenoCA
SBS41,Prost.AdenoCA
SBS33,Prost.AdenoCA
SBS37,Prost.AdenoCA
SBS52,Prost.AdenoCA
SBS34,Prost.AdenoCA
SBS14,Prost.AdenoCA
SBS15,Prost.AdenoCA
SBS21,Prost.AdenoCA
SBS95,Prost.AdenoCA
SBS96,Prost.AdenoCA
SBS97,Prost.AdenoCA
SBS1,Skin.Melanoma
SBS2,Skin.Melanoma
SBS5,Skin.Melanoma
SBS13,Skin.Melanoma
SBS17b,Skin.Melanoma
SBS8,Skin.Melanoma
SBS18,Skin.Melanoma
SBS3,Skin.Melanoma
SBS41,Skin.Melanoma
SBS85,Skin.Melanoma
SBS37,Skin.Melanoma
SBS7a,Skin.Melanoma
SBS7b,Skin.Melanoma
SBS7c,Skin.Melanoma
SBS7d,Skin.Melanoma
SBS38,Skin.Melanoma
SBS55,Skin.Melanoma
SBS34,Skin.Melanoma
SBS1,SoftTissue.Leiomyo
SBS2,SoftTissue.Leiomyo
SBS5,SoftTissue.Leiomyo
SBS13,SoftTissue.Leiomyo
SBS17b,SoftTissue.Leiomyo
SBS8,SoftTissue.Leiomyo
SBS3,SoftTissue.Leiomyo
SBS30,SoftTissue.Leiomyo
SBS12,SoftTissue.Leiomyo
SBS34,SoftTissue.Leiomyo
SBS1,SoftTissue.Liposarc
SBS2,SoftTissue.Liposarc
SBS5,SoftTissue.Liposarc
SBS13,SoftTissue.Liposarc
SBS8,SoftTissue.Liposarc
SBS3,SoftTissue.Liposarc
SBS1,Stomach.AdenoCA
SBS2,Stomach.AdenoCA
SBS5,Stomach.AdenoCA
SBS13,Stomach.AdenoCA
SBS17a,Stomach.AdenoCA
SBS17b,Stomach.AdenoCA
SBS8,Stomach.AdenoCA
SBS18,Stomach.AdenoCA
SBS3,Stomach.AdenoCA
SBS41,Stomach.AdenoCA
SBS30,Stomach.AdenoCA
SBS85,Stomach.AdenoCA
SBS36,Stomach.AdenoCA
SBS28,Stomach.AdenoCA
SBS93,Stomach.AdenoCA
SBS54,Stomach.AdenoCA
SBS34,Stomach.AdenoCA
SBS26,Stomach.AdenoCA
SBS14,Stomach.AdenoCA
SBS15,Stomach.AdenoCA
SBS20,Stomach.AdenoCA
SBS21,Stomach.AdenoCA
SBS95,Stomach.AdenoCA
SBS96,Stomach.AdenoCA
SBS97,Stomach.AdenoCA
SBS1,Thy.AdenoCA
SBS2,Thy.AdenoCA
SBS5,Thy.AdenoCA
SBS13,Thy.AdenoCA
SBS8,Thy.AdenoCA
SBS30,Thy.AdenoCA
SBS1,Uterus.AdenoCA
SBS2,Uterus.AdenoCA
SBS5,Uterus.AdenoCA
SBS13,Uterus.AdenoCA
SBS17b,Uterus.AdenoCA
SBS18,Uterus.AdenoCA
SBS40,Uterus.AdenoCA
SBS3,Uterus.AdenoCA
SBS28,Uterus.AdenoCA
SBS54,Uterus.AdenoCA
SBS31,Uterus.AdenoCA
SBS34,Uterus.AdenoCA
SBS26,Uterus.AdenoCA
SBS14,Uterus.AdenoCA
SBS15,Uterus.AdenoCA
SBS20,Uterus.AdenoCA
SBS21,Uterus.AdenoCA
SBS95,Uterus.AdenoCA
SBS98,Uterus.AdenoCA
SBS97,Uterus.AdenoCA
SBS10a,Uterus.AdenoCA
SBS10b,Uterus.AdenoCA
SBS100,Uterus.AdenoCA
