signatures,tumor_type
ID25,Prost.AdenoCA
ID26,Prost.AdenoCA
ID1,Skin.Melanoma
ID2,Skin.Melanoma
ID3,Skin.Melanoma
ID4,Skin.Melanoma
ID6,Skin.Melanoma
ID8,Skin.Melanoma
ID10,Skin.Melanoma
ID11b,Skin.Melanoma
ID12,Skin.Melanoma
ID13,Skin.Melanoma
ID18,Skin.Melanoma
ID20,Skin.Melanoma
ID24,Skin.Melanoma
ID25,Skin.Melanoma
ID26,Skin.Melanoma
ID1,SoftTissue.Leiomyo
ID2,SoftTissue.Leiomyo
ID3,SoftTissue.Leiomyo
ID4,SoftTissue.Leiomyo
ID5,SoftTissue.Leiomyo
ID6,SoftTissue.Leiomyo
ID7,SoftTissue.Leiomyo
ID8,SoftTissue.Leiomyo
ID9,SoftTissue.Leiomyo
ID10,SoftTissue.Leiomyo
ID11b,SoftTissue.Leiomyo
ID12,SoftTissue.Leiomyo
ID14,SoftTissue.Leiomyo
ID18,SoftTissue.Leiomyo
ID19,SoftTissue.Leiomyo
ID20,SoftTissue.Leiomyo
ID21,SoftTissue.Leiomyo
ID22,SoftTissue.Leiomyo
ID25,SoftTissue.Leiomyo
ID26,SoftTissue.Leiomyo
ID1,SoftTissue.Liposarc
ID2,SoftTissue.Liposarc
ID3,SoftTissue.Liposarc
ID5,SoftTissue.Liposarc
ID6,SoftTissue.Liposarc
ID8,SoftTissue.Liposarc
ID9,SoftTissue.Liposarc
ID10,SoftTissue.Liposarc
ID11a,SoftTissue.Liposarc
ID11b,SoftTissue.Liposarc
ID12,SoftTissue.Liposarc
ID14,SoftTissue.Liposarc
ID18,SoftTissue.Liposarc
ID19,SoftTissue.Liposarc
ID20,SoftTissue.Liposarc
ID21,SoftTissue.Liposarc
ID22,SoftTissue.Liposarc
ID25,SoftTissue.Liposarc
ID26,SoftTissue.Liposarc
ID1,Stomach.AdenoCA
ID2,Stomach.AdenoCA
ID3,Stomach.AdenoCA
ID4,Stomach.AdenoCA
ID5,Stomach.AdenoCA
ID6,Stomach.AdenoCA
ID7,Stomach.AdenoCA
ID8,Stomach.AdenoCA
ID9,Stomach.AdenoCA
ID11b,Stomach.AdenoCA
ID12,Stomach.AdenoCA
ID14,Stomach.AdenoCA
ID18,Stomach.AdenoCA
ID19,Stomach.AdenoCA
ID20,Stomach.AdenoCA
ID26,Stomach.AdenoCA
ID1,Thy.AdenoCA
ID2,Thy.AdenoCA
ID3,Thy.AdenoCA
ID4,Thy.AdenoCA
ID5,Thy.AdenoCA
ID8,Thy.AdenoCA
ID9,Thy.AdenoCA
ID10,Thy.AdenoCA
ID11b,Thy.AdenoCA
ID12,Thy.AdenoCA
ID19,Thy.AdenoCA
ID26,Thy.AdenoCA
ID1,Uterus.AdenoCA
ID2,Uterus.AdenoCA
ID5,Uterus.AdenoCA
ID6,Uterus.AdenoCA
ID7,Uterus.AdenoCA
ID8,Uterus.AdenoCA
ID9,Uterus.AdenoCA
ID10,Uterus.AdenoCA
ID26,Uterus.AdenoCA
